"filename", "language", "HTML", "Markdown", "Ignore", "XML", "YAML", "C#", "Docker", "JSON", "JavaScript", "CSS", "EditorConfig", "ASP.NET Razor", "comment", "blank", "total"
"c:\Users\PC-1\Projects\eShop-Project\src\Basket.Api\obj\Release\net6.0\staticwebassets\msbuild.buildMultiTargeting.Basket.Api.props", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\PC-1\Projects\eShop-Project\src\Basket.Api\obj\Release\net6.0\staticwebassets\msbuild.buildTransitive.Basket.Api.props", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\PC-1\Projects\eShop-Project\src\Basket.Api\obj\project.assets.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 3973, 0, 0, 0, 0, 0, 0, 3973
"c:\Users\PC-1\Projects\eShop-Project\src\Basket.Api\obj\project.packagespec.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\Catalog.Api.csproj", "XML", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\Controllers\CatalogApi.cs", "C#", 0, 0, 0, 0, 0, 265, 0, 0, 0, 0, 0, 0, 7, 43, 315
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\DependencyInjection.cs", "C#", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\Helpers\DbContext.cs", "C#", 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 11, 76
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\Helpers\DbSettings.cs", "C#", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 1, 10
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\Models\CatalogBrand.cs", "C#", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\Models\CatalogItem.cs", "C#", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 11, 41
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\Models\CatalogType.cs", "C#", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\Program.cs", "C#", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 9, 50
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\Properties\launchSettings.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 1, 32
